기준_날짜,행정동_ID,승객_수
2023-09-17,1107060,26812.0
2023-02-14,1122058,10127.0
2023-03-18,1103072,6403.0
2023-02-15,1105057,17121.0
2023-09-21,1108058,16813.0
2023-07-03,1121065,2845.0
2023-11-05,1114063,1233.0
2023-09-23,1104069,2397.0
2023-07-16,1122053,41332.0
2023-04-01,1115070,9466.0
2023-01-31,1113073,51919.0
2023-12-01,1106086,11819.0
2023-03-17,1116061,16181.0
2023-12-17,1116059,2908.0
2023-09-27,1120063,9303.0
2023-07-14,1102052,90667.0
2023-01-15,1121078,8194.0
2023-08-17,1116064,53180.0
2023-08-29,1114075,7938.0
2023-05-30,1120056,7722.0
2023-02-05,1122058,6550.0
2023-04-26,1115071,
2023-01-20,1115053,22365.0
2023-05-05,1112068,4107.0
2023-05-21,1114069,5145.0
2023-02-23,1108060,21199.0
2023-08-16,1121063,73575.0
2023-06-29,1108083,16603.0
2023-06-05,1112051,33537.0
2023-11-11,1123060,13060.0
2023-11-23,1112055,43449.0
2023-02-21,1114076,25605.0
2023-09-10,1120067,2492.0
2023-07-05,1123071,6949.0
2023-12-18,1118054,15542.0
2023-03-27,1112055,44246.0
2023-10-20,1115063,6530.0
2023-03-24,1120055,8978.0
2023-12-12,1106087,20763.0
2023-10-04,1102052,88251.0
2023-02-13,1119070,5875.0
2023-08-30,1111065,21390.0
2023-04-14,1112058,36606.0
2023-02-15,1123053,68257.0
2023-10-17,1111051,14653.0
2023-07-29,1119073,26662.0
2023-12-06,1125055,4244.0
2023-12-22,1120052,14990.0
2023-01-21,1121057,7847.0
2023-09-29,1106082,11019.0
2023-08-13,1106072,15602.0
2023-06-19,1122065,11067.0
2023-01-23,1115064,2258.0
2023-04-26,1105064,
2023-10-22,1115057,2588.0
2023-03-13,1108085,34948.0
2023-02-13,1125074,18516.0
2023-11-15,1113073,57362.0
2023-06-11,1125066,35703.0
2023-06-23,1117070,7759.0
2023-09-26,1106089,16969.0
2023-09-24,1116072,5096.0
2023-09-03,1123063,26383.0
2023-07-03,1122052,121523.0
2023-04-22,1110061,4362.0
2023-04-23,1109073,4470.0
2023-09-16,1121081,9173.0
2023-11-07,11250760,0.0
2023-04-13,1120066,14011.0
2023-08-11,1120054,20733.0
2023-08-09,1123077,70913.0
2023-02-25,1111056,17002.0
2023-03-13,1116052,17212.0
2023-10-07,1125073,8943.0
2023-08-29,1108077,16457.0
2023-08-17,1116053,8591.0
2023-06-04,1104067,3834.0
2023-01-25,1105066,6168.0
2023-03-30,1116071,38095.0
2023-06-01,1122066,84980.0
2023-05-27,1122066,43803.0
2023-11-20,1125065,17785.0
2023-01-07,1102055,65524.0
2023-02-22,1119070,6262.0
2023-12-07,1121052,11905.0
2023-10-23,1101063,75472.0
2023-12-20,1119071,5175.0
2023-10-21,1105064,5314.0
2023-01-05,1111072,16497.0
2023-04-15,1120053,40324.0
2023-09-28,1102055,51276.0
2023-04-17,1124056,6513.0
2023-05-19,1105059,62927.0
2023-10-19,1117056,26701.0
2023-12-13,1104065,13353.0
2023-06-15,1120054,22346.0
2023-02-26,1111066,33940.0
2023-12-16,1121057,13779.0
2023-02-03,1108061,15869.0
2023-05-01,1121082,8667.0
2023-05-10,1105066,6950.0
2023-09-15,1123078,23270.0
2023-08-20,1113068,12168.0
2023-08-13,1121058,10350.0
2023-05-11,1120073,57950.0
2023-06-17,1103070,5025.0
2023-04-23,1112074,9024.0
2023-10-03,1120053,29527.0
2023-01-13,1124058,13440.0
2023-10-03,1114076,14913.0
2023-02-07,1121063,76416.0
2023-02-10,1125053,17153.0
2023-04-05,1125061,14052.0
2023-02-03,1113073,52236.0
2023-03-07,1124065,10641.0
2023-03-09,1124081,31149.0
2023-01-19,1121065,2950.0
2023-05-10,1107069,27514.0
2023-03-08,1124066,36907.0
2023-09-26,1121062,37681.0
2023-01-24,1118051,20961.0
2023-09-26,1104071,9008.0
2023-11-16,1119055,37572.0
2023-10-12,1122064,33386.0
2023-05-02,1101073,19160.0
2023-05-19,1123076,18970.0
2023-12-29,1124082,14670.0
2023-01-30,1110064,10318.0
2023-08-16,1124057,11337.0
2023-03-06,1121079,10318.0
2023-12-16,1108059,4761.0
2023-08-27,1101067,7377.0
2023-03-29,1106089,16343.0
2023-09-14,1115059,3904.0
2023-05-19,1119066,4698.0
2023-06-16,1120056,7839.0
2023-09-24,1105061,17180.0
2023-03-13,1123064,149859.0
2023-04-22,1115052,22043.0
2023-04-29,1102069,21905.0
2023-10-03,1120071,14694.0
2023-01-17,1115061,4260.0
2023-08-02,1120063,8951.0
2023-11-03,1113052,19814.0
2023-06-29,1119067,4341.0
2023-05-14,1117052,1979.0
2023-07-10,1116061,15515.0
2023-08-09,1104055,17632.0
2023-09-24,1109064,6471.0
2023-09-13,1109074,17204.0
2023-02-04,1116070,12999.0
2023-02-20,1119065,6501.0
2023-04-10,1117070,7407.0
2023-01-19,1121063,76774.0
2023-04-28,1114061,4468.0
2023-05-19,1101057,2574.0
2023-11-10,1121065,3010.0
2023-07-08,1121065,2175.0
2023-01-15,1119076,13889.0
2023-03-09,1123065,18997.0
2023-11-10,1109069,13577.0
2023-04-05,1124055,11817.0
2023-04-15,1105061,18555.0
2023-11-17,1117067,15281.0
2023-02-15,1114063,2258.0
2023-05-06,1125066,41656.0
2023-11-02,1101067,10979.0
2023-11-11,1110063,27531.0
2023-04-09,1115062,3185.0
2023-02-21,1107062,26177.0
2023-06-02,1109074,17028.0
2023-07-16,1104066,13847.0
2023-12-03,1108064,3617.0
2023-09-22,1123059,40737.0
2023-05-28,1120063,5177.0
2023-04-13,1115053,23457.0
2023-10-20,1113075,95602.0
2023-08-30,1109062,7771.0
2023-11-21,1124065,10404.0
2023-09-08,1121079,11137.0
2023-06-26,1104057,14215.0
2023-09-16,1104070,32257.0
2023-04-08,1103058,9848.0
2023-06-12,1108078,6986.0
2023-06-20,1120071,31794.0
2023-10-09,1125070,7250.0
2023-05-23,1102069,31289.0
2023-03-15,1107069,27021.0
2023-12-13,1124069,46212.0
2023-11-28,1117069,31266.0
2023-01-12,1102060,65703.0
2023-10-14,1102059,42489.0
2023-12-09,1120056,5328.0
2023-07-23,1104052,8853.0
2023-08-22,1106071,8039.0
2023-05-26,1109060,63082.0
2023-12-21,1105054,10180.0
2023-07-05,1124078,23184.0
2023-09-01,1115052,32341.0
2023-12-19,1123072,22447.0
2023-03-30,1121065,2678.0
2023-07-25,1122068,10840.0
2023-08-03,1102067,4046.0
2023-05-17,1124060,23663.0
2023-12-03,1108083,11806.0
2023-10-27,1124063,29848.0
2023-09-09,1106086,9246.0
2023-12-11,1112058,33138.0
2023-08-15,1122066,29208.0
2023-05-12,1123058,74407.0
2023-05-16,1105056,6380.0
2023-10-29,1116074,18630.0
2023-08-08,1109060,56193.0
2023-05-22,1111053,13977.0
2023-12-12,1124062,2601.0
2023-01-31,1123078,21802.0
2023-08-11,1117069,25474.0
2023-05-09,1105063,22584.0
2023-06-22,1116052,17533.0
2023-04-03,1119065,6854.0
2023-03-29,1115066,31433.0
2023-01-28,1112057,7156.0
2023-12-29,1115051,65367.0
2023-05-19,1107065,18659.0
2023-03-01,1117067,9106.0
2023-01-09,1106072,28389.0
2023-10-19,1101072,7967.0
2023-10-27,1108058,16002.0
2023-05-05,1124069,16145.0
2023-02-05,1106072,15645.0
2023-05-23,1103057,6487.0
2023-04-25,1110059,49410.0
2023-08-28,1102072,2568.0
2023-02-20,1118058,6708.0
2023-09-13,1108062,13938.0
2023-03-22,1112057,10902.0
2023-09-10,1120071,15358.0
2023-11-01,1124060,23016.0
2023-05-02,1115065,3541.0
2023-08-18,1124065,10535.0
2023-10-18,11250550,11093.0
2023-10-25,1116067,28335.0
2023-04-03,1111053,14237.0
2023-06-21,1111056,28360.0
2023-12-02,1117069,16678.0
2023-03-16,1103069,8281.0
2023-07-06,1125051,13173.0
2023-05-03,1109069,14254.0
2023-01-02,1103070,5071.0
2023-09-23,1103074,38711.0
2023-04-25,1114075,7981.0
2023-01-17,1124063,28189.0
2023-06-26,1125073,10759.0
2023-12-02,1105058,2860.0
2023-04-16,1115051,34224.0
2023-11-27,1123073,3630.0
2023-03-19,1106091,4188.0
2023-01-16,1102070,3739.0
2023-02-10,1124052,7521.0
2023-11-01,1104066,29817.0
2023-03-29,1117071,29612.0
2023-03-01,1121063,49407.0
2023-08-15,1103069,5592.0
2023-04-20,1107054,11966.0
2023-12-07,1116066,2142.0
2023-08-15,1121066,9586.0
2023-08-17,1116072,9130.0
2023-07-18,1114060,43873.0
2023-08-22,1122066,82902.0
2023-09-13,1122059,13190.0
2023-09-14,1122051,66849.0
2023-10-10,1114071,6861.0
2023-10-24,1104056,44756.0
2023-08-21,1120068,46657.0
2023-11-12,1114077,23925.0
2023-09-08,1118055,12269.0
2023-02-22,1105054,9207.0
2023-06-09,1121071,6383.0
2023-05-07,1122054,7603.0
2023-03-30,1107052,7275.0
2023-08-03,1123063,85857.0
2023-10-27,1122065,11244.0
2023-06-13,1123080,18195.0
2023-01-28,1102059,33581.0
2023-10-27,1101067,10905.0
2023-05-19,1124061,20826.0
2023-02-16,1114066,190696.0
2023-10-28,1109072,37464.0
2023-11-04,1124077,114460.0
2023-04-02,1105061,22054.0
2023-01-17,1107070,11253.0
2023-09-12,1115066,30958.0
2023-05-09,1106072,37397.0
2023-10-13,1103063,6827.0
2023-06-09,1108062,14064.0
2023-09-08,1125053,18257.0
2023-12-31,1110063,21649.0
2023-03-18,1112051,25637.0
2023-06-19,1106087,19980.0
2023-11-18,1103073,90931.0
2023-08-30,1107069,26950.0
2023-06-13,1116058,4659.0
2023-02-20,1111059,24762.0
